event_name,event_date,fighter1,fighter2,weight_class,method,round,time,scheduled_rounds,total_fight_time_seconds,is_finish,outcome,referee,total_sig_strikes,total_knockdowns,total_takedowns,total_sub_attempts,total_control_time,fighter1_bonus,fighter2_bonus,fight_bonus,has_bonus,event_date_parsed,year,era,total_sig_strikes_z,total_knockdowns_z,total_sub_attempts_z,has_official_bonus,implied_bonus
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Merab Dvalishvili,Petr Yan,UFC Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5,1500,False,L/W,Marc Goddard,273,0,7,2,487,,,,False,2025-12-06,2025,6_Current,2.732543780891625,-0.6445969600347569,1.4584401066192292,False,True
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Alexandre Pantoja,Joshua Van,UFC Flyweight Title Bout,KO/TKO ,1,0:26,5,26,True,L/W,Herb Dean,8,0,0,0,0,,,,False,2025-12-06,2025,6_Current,-1.21864372161357,-0.6445969600347569,-0.6018580285674396,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Brandon Moreno,Tatsuro Taira,Flyweight Bout,KO/TKO ,2,2:24,3,444,True,L/W,Mark Smith,37,0,1,1,272,,,,False,2025-12-06,2025,6_Current,-0.7862496175658316,-0.6445969600347569,0.4282910390258947,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Henry Cejudo,Payton Talbott,Bantamweight Bout,Decision - Unanimous ,3,5:00,3,900,False,L/W,Chris Tognoni,194,1,4,0,370,,,,False,2025-12-06,2025,6_Current,1.55464260089951,0.8851182137790692,-0.6018580285674396,False,True
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Jan Blachowicz,Bogdan Guskov,Light Heavyweight Bout,Decision - Majority ,3,5:00,3,900,False,D/D,Jason Herzog,164,2,0,1,257,,,,False,2025-12-06,2025,6_Current,1.1073383553328844,2.414833387592895,0.4282910390258947,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Grant Dawson,Manuel Torres,Lightweight Bout,KO/TKO ,1,2:25,3,145,True,L/W,Herb Dean,17,1,0,0,4,,,,False,2025-12-06,2025,6_Current,-1.0844524479435822,0.8851182137790692,-0.6018580285674396,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Terrance McKinney,Chris Duncan,Lightweight Bout,Submission ,1,2:30,3,150,False,L/W,Marc Goddard,69,1,1,1,70,,,,False,2025-12-06,2025,6_Current,-0.3091250889614307,0.8851182137790692,0.4282910390258947,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Maycee Barber,Karine Silva,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3,900,False,W/L,Mark Smith,76,0,5,0,588,,,,False,2025-12-06,2025,6_Current,-0.20475409832921804,-0.6445969600347569,-0.6018580285674396,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Nazim Sadykhov,Fares Ziam,Lightweight Bout,KO/TKO ,2,4:59,3,599,True,L/W,Jason Herzog,35,1,2,2,397,,,,False,2025-12-06,2025,6_Current,-0.8160699006036066,0.8851182137790692,1.4584401066192292,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Marvin Vettori,Brunno Ferreira,Middleweight Bout,Decision - Unanimous ,3,5:00,3,900,False,L/W,Chris Tognoni,165,0,2,0,73,,,,False,2025-12-06,2025,6_Current,1.1222484968517719,-0.6445969600347569,-0.6018580285674396,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Edson Barboza,Jalin Turner,Lightweight Bout,KO/TKO ,1,2:24,3,144,True,L/W,Herb Dean,49,2,0,0,45,,,,False,2025-12-06,2025,6_Current,-0.6073279193391813,2.414833387592895,-0.6018580285674396,False,True
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Iwo Baraniewski,Ibo Aslan,Light Heavyweight Bout,KO/TKO ,1,1:29,3,89,True,W/L,Marc Goddard,52,3,0,0,17,,,,False,2025-12-06,2025,6_Current,-0.5625974947825186,3.944548561406721,-0.6018580285674396,False,True
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Mansur Abdul-Malik,Antonio Trocoli,Middleweight Bout,Submission ,1,1:09,3,69,False,W/L,Mark Smith,5,0,1,1,42,,,,False,2025-12-06,2025,6_Current,-1.2633741461702324,-0.6445969600347569,0.4282910390258947,False,False
UFC 323: Dvalishvili vs. Yan 2,"December 06, 2025",Muhammad Naimov,Mairon Santos,Featherweight Bout,KO/TKO ,3,0:21,3,621,True,L/W,Mark Smith,45,1,0,0,175,,,,False,2025-12-06,2025,6_Current,-0.6669684854147314,0.8851182137790692,-0.6018580285674396,False,False
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Arman Tsarukyan,Dan Hooker,Lightweight Bout,Submission ,2,3:34,5,514,False,W/L,Marc Goddard,52,0,2,3,372,POTN,,POTN,True,2025-11-22,2025,6_Current,-0.5625974947825186,-0.6445969600347569,2.488589174212563,True,True
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Belal Muhammad,Ian Machado Garry,Welterweight Bout,Decision - Unanimous ,3,5:00,3,900,False,L/W,Rich Mitchell,128,0,0,0,254,,,,False,2025-11-22,2025,6_Current,0.5705732606529333,-0.6445969600347569,-0.6018580285674396,False,False
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Volkan Oezdemir,Alonzo Menifield,Light Heavyweight Bout,KO/TKO ,1,1:27,3,87,True,W/L,Marc Goddard,15,1,0,0,0,,,,False,2025-11-22,2025,6_Current,-1.1142727309813572,0.8851182137790692,-0.6018580285674396,False,False
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Jack Hermansson,Myktybek Orolbai,Welterweight Bout,KO/TKO ,1,2:46,3,166,True,L/W,Daniel Movahedi,34,1,0,0,3,,,,False,2025-11-22,2025,6_Current,-0.8309800421224941,0.8851182137790692,-0.6018580285674396,False,False
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Waldo Cortes Acosta,Shamil Gaziev,Heavyweight Bout,KO/TKO ,1,1:22,3,82,True,W/L,Lukasz Bosacki,16,2,0,0,8,,,,False,2025-11-22,2025,6_Current,-1.0993625894624697,2.414833387592895,-0.6018580285674396,False,True
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Tagir Ulanbekov,Kyoji Horiguchi,Flyweight Bout,Submission ,3,2:18,3,738,False,L/W,Rich Mitchell,55,2,1,2,419,,POTN,POTN,True,2025-11-22,2025,6_Current,-0.5178670702258561,2.414833387592895,1.4584401066192292,True,True
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Bogdan Grad,Luke Riley,Featherweight Bout,KO/TKO ,2,0:30,3,330,True,L/W,Marc Goddard,21,1,4,0,250,,POTN,POTN,True,2025-11-22,2025,6_Current,-1.024811881868032,0.8851182137790692,-0.6018580285674396,True,True
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Nicolas Dalby,Saygid Izagakhmaev,Welterweight Bout,Decision - Split ,3,5:00,3,900,False,W/L,Lukasz Bosacki,46,0,4,0,707,,,,False,2025-11-22,2025,6_Current,-0.6520583438958438,-0.6445969600347569,-0.6018580285674396,False,False
UFC Fight Night: Tsarukyan vs. Hooker,"November 22, 2025",Alex Perez,Asu Almabayev,Flyweight Bout,Submission ,3,0:22,3,622,False,L/W,Daniel Movahedi,76,0,5,1,210,,,,False,2025-11-22,2025,6_Current,-0.20475409832921804,-0.6445969600347569,0.4282910390258947,False,False
