event_name,fighter_name,bonus_type,opponent_name
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne,FOTN,Randa Markos
The Ultimate Fighter: A Champion Will Be Crowned Finale,Randa Markos,FOTN,Jessica Penne
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza,POTN,
The Ultimate Fighter: A Champion Will Be Crowned Finale,Yancy Medeiros,POTN,
The Ultimate Fighter: Heavyweights Finale,Frankie Edgar,FOTN,Matt Veach
The Ultimate Fighter: Heavyweights Finale,Matt Veach,FOTN,Frankie Edgar
The Ultimate Fighter: Heavyweights Finale,Roy Nelson,KOTN,
The Ultimate Fighter: Heavyweights Finale,Mark Bocek,SOTN,
The Ultimate Fighter: Live Finale,Justin Lawrence,FOTN,John Cofer
The Ultimate Fighter: Live Finale,John Cofer,FOTN,Justin Lawrence
The Ultimate Fighter: Live Finale,Martin Kampmann,KOTN,
The Ultimate Fighter: Live Finale,Justin Lawrence,KOTN,
The Ultimate Fighter: Live Finale,Michael Chiesa,SOTN,
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Tim Elliott,FOTN,Jared Papazian
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Jared Papazian,FOTN,Tim Elliott
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,Pat Barry,KOTN,
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,TJ Waldburger,SOTN,
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Leandro Issa,FOTN,Jumabieke Tuerxun
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Jumabieke Tuerxun,FOTN,Leandro Issa
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Leandro Issa,POTN,
The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Adriano Martins,POTN,
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Jon Koppenhaver,KOTN,
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Matt Arroyo,SOTN,
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,Cat Zingano,FOTN,Miesha Tate
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,Miesha Tate,FOTN,Cat Zingano
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,Travis Browne,KOTN,
The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,Daniel Pineda,SOTN,
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Junie Browning,FOTN,Dave Kaplan
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Dave Kaplan,FOTN,Junie Browning
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Anthony Johnson,KOTN,
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Krzysztof Soszynski,SOTN,
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Dustin Hazelett,FOTN,Josh Burkman
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Josh Burkman,FOTN,Dustin Hazelett
